Start,End,Total duration,Alarm text,Alarm class
02/10/2018 12:12,02/10/2018 12:15,123,a,S
02/10/2018 12:40,02/10/2018 12:42,138,a,S
02/10/2018 12:44,02/10/2018 12:47,230,a,S
02/10/2018 12:49,02/10/2018 12:49,28,a,S
02/10/2018 12:53,02/10/2018 12:56,180,a,S
02/10/2018 12:58,02/10/2018 12:59,81,a,S
02/10/2018 13:01,02/10/2018 13:01,5,a,S
02/10/2018 14:05,02/10/2018 14:05,15,a,S
02/10/2018 14:05,02/10/2018 14:05,11,c,O
02/10/2018 14:09,02/10/2018 14:10,89,a,S
02/10/2018 14:09,02/10/2018 14:10,85,c,O
02/10/2018 14:11,02/10/2018 14:12,20,a,S
02/10/2018 14:11,02/10/2018 14:12,15,c,O
02/10/2018 14:15,02/10/2018 14:22,420,b,E
02/10/2018 14:15,02/10/2018 14:22,420,a,S
02/10/2018 14:26,02/10/2018 14:27,20,a,S
02/10/2018 14:26,02/10/2018 14:27,16,c,O
02/10/2018 14:28,02/10/2018 14:28,20,a,S
02/10/2018 14:28,02/10/2018 14:28,15,c,O
02/10/2018 14:37,02/10/2018 14:37,20,a,S
02/10/2018 15:34,02/10/2018 15:34,1,a,S
02/10/2018 15:42,02/10/2018 15:42,2,a,S
02/10/2018 15:44,02/10/2018 15:44,1,a,S
02/10/2018 15:59,02/10/2018 15:59,16,a,S
02/10/2018 15:59,02/10/2018 15:59,12,c,O
02/10/2018 16:00,02/10/2018 16:01,20,a,S
02/10/2018 16:00,02/10/2018 16:01,16,c,O
02/10/2018 16:12,02/10/2018 16:13,106,a,S
02/10/2018 16:15,02/10/2018 16:43,1680,b,E
02/10/2018 16:15,02/10/2018 16:43,1680,a,S
02/10/2018 17:01,02/10/2018 17:02,29,a,S
02/10/2018 17:01,02/10/2018 17:02,24,c,O
02/10/2018 17:03,02/10/2018 17:03,20,a,S
02/10/2018 17:03,02/10/2018 17:03,15,c,O
02/10/2018 17:52,02/10/2018 17:53,63,a,S
02/10/2018 17:52,02/10/2018 17:53,59,c,O
02/10/2018 17:57,02/10/2018 17:59,133,a,S
02/10/2018 17:57,02/10/2018 17:59,130,c,O
02/10/2018 18:47,02/10/2018 18:47,16,a,S
02/10/2018 18:47,02/10/2018 18:47,11,c,O
02/10/2018 18:56,02/10/2018 18:57,86,a,S
02/10/2018 18:56,02/10/2018 18:57,81,c,O
02/10/2018 18:59,02/10/2018 18:59,19,a,S
02/10/2018 18:59,02/10/2018 18:59,15,c,O
02/10/2018 19:00,02/10/2018 19:15,900,b,E
02/10/2018 19:00,02/10/2018 19:15,900,a,S
02/10/2018 19:22,02/10/2018 19:22,3,a,S
02/10/2018 19:24,02/10/2018 19:24,6,a,S
02/10/2018 19:24,02/10/2018 19:24,1,c,O
02/10/2018 19:39,02/10/2018 19:39,3,a,S
02/10/2018 20:54,02/10/2018 20:55,45,a,S
02/10/2018 20:54,02/10/2018 20:55,40,c,O
02/10/2018 21:42,02/10/2018 21:42,29,a,S
02/10/2018 21:42,02/10/2018 21:42,25,c,O
02/10/2018 21:43,02/10/2018 21:44,41,a,S
02/10/2018 21:43,02/10/2018 21:44,37,c,O
02/10/2018 21:45,02/10/2018 21:52,420,b,E
02/10/2018 21:45,02/10/2018 21:52,420,a,S
02/10/2018 21:54,02/10/2018 21:55,16,a,S
02/10/2018 21:54,02/10/2018 21:55,12,c,O
02/10/2018 22:00,02/10/2018 22:00,6,a,S
02/10/2018 22:00,02/10/2018 22:00,1,c,O
